date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:01	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:01%20GMT	https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p0496p8f.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0496p8f.jpg_	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/zc84cwx)
17:21:02	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:02%20GMT	https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p0496p8f.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0496p8f.jpg_	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/zc84cwx)
17:21:03	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:03%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/z3cxrwx	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account8d61	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/z3cxrwx)
17:21:04	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:04%20GMT	https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p05c143h.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p05c143h.jpg_	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/z3cxrwx)
17:21:05	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:05%20GMT	https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p05c143h.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p05c143h.jpg_	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/z3cxrwx)
17:21:06	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:06%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/zc4jpbk	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account292f	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/zc4jpbk)
17:21:07	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:07%20GMT	https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p04w2p6w.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p04w2p6w.jpg_	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/zc4jpbk)
17:21:08	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:08%20GMT	https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p04w2p6w.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p04w2p6w.jpg_	(from https://www.bbc.co.uk/bitesize/topics/zqhpk2p/articles/zc4jpbk)
17:21:09	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:09%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/.	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:10	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:10%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account2a8b	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:11	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:11%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p0476j4v.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0476j4v.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:12	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:12%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p0476j4v.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0476j4v.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:13	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:13%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p0476jlv.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0476jlv.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:14	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:14%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p0476jlv.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p0476jlv.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:15	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:15%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p047b4sg.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p047b4sg.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:16	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:16%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p047b4sg.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p047b4sg.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/z9hjwxs)
17:21:17	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:17%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zwgbcwx	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account11ca	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zwgbcwx)
17:21:18	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:18%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p04f1t9t.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p04f1t9t.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zwgbcwx)
17:21:19	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:19%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p04f1t9t.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p04f1t9t.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zwgbcwx)
17:21:20	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:20%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p04f1t9y.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p04f1t9y.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zwgbcwx)
17:21:21	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:21%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p04f1t9y.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p04f1t9y.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zwgbcwx)
17:21:22	496/496	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:22%20GMT	https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/account.bbc.com/account0330	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc)
17:21:23	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:23%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p048gw1d.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p048gw1d.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc)
17:21:24	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:24%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p048gw1d.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p048gw1d.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc)
17:21:25	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:25%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p048gwgf.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p048gwgf.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc)
17:21:26	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2016:21:26%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https:/ichef.bbci.co.uk/images/ic/1280xn/p048gwgf.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p048gwgf.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc)
17:21:27	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2030%20Jul%202024%2016:21:27%20GMT	https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/%22https://ichef.bbci.co.uk/images/ic/1280xn/p048gw8k.jpg%22	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/_https_/ichef.bbci.co.uk/images/ic/1280xn/p048gw8k.jpg_	(from https://www.bbc.co.uk/bitesize/topics/z8mxrwx/articles/zqghtyc)
